inc_inv_mean_$, gov_pen_supp_dva_cnt, occ_clerical_admin_%, inc_own_unincorp_bus_mdn_age_yr, gov_fml_tax_bnft_b_cnt, inc_super_main_src_%, gov_fml_tax_bnft_tot_cnt, lga_code16, inc_over15_wkly_1000_1999_%, inc_excl_gov_pen_mdn_tot_$, inc_earner_excl_gov_pen_mdn_age_yr, hg_edu_comp_yr_9_%, post_sch_adv_dplm_or_dplm_%, year, inc_super_mean_$, inc_super_mdn_$, inc_inv_mdn_$, gov_allo_ft_stu_appren_cnt, post_sch_grad_dplm_grad_cert_%, inc_mdn_empl_inc_$, lbr_stat_unempl_cnt, inc_over15_wkly_2000_2999_%, taxpayers_prv_hlth_insurance_cnt, hg_edu_no_sch_%, gcg_mdn_$, gov_pen_prnt_sngl_cnt, gov_allo_youth_cnt, inc_tot_excl_gov_pen_top_2nd_quartile_%, inc_own_unincorp_bus_main_src_%, inc_tot_excl_gov_pen_p80_p20_ratio, post_sch_cert_%, inc_excl_gov_pen_tot_, yth_engm_wrk_ft_not_stu_%, inc_other_excl_gov_pen_mdn_age_yr, lga_name16, yth_engm_wrk_pt_stu_pt_%, inc_own_unincorp_bus_mdn_$, occ_not_stated_%, gov_pen_srv_dva_cnt, persons_dsbl_prv_dwl_cnt, inc_other_excl_gov_pen_mdn_$, inc_over15_wkly_negative_%, inc_employee_earner_cnt, higher_edu_help_loan_cnt, inc_over15_wkly_over_3k_%, yth_engm_15_19_yrs_tot_cnt, inc_over15_wkly_1_499_%, persons_need_assist_core_activities_%, inc_own_unincorp_bus_mean_$, inc_tot_excl_gov_pen_top_quartile_%, lbr_stat_labour_force_cnt, hg_edu_comp_yr_12_%, inc_earner_excl_gov_pen_tot_cnt, lbr_stat_particip_rate_%, inc_mean_empl_inc_$, occ_manager_%, gov_fml_tax_bnft_a_cnt, inc_inv_main_src_%, gov_pen_newstart_cnt, inc_excl_gov_pen_mean_tot_$, inc_tot_excl_gov_pen_top_5percent_%, inc_super_mdn_age_yr, persons_dsbl_prv_dwl_%, hg_edu_comp_yr_11_%, yth_engm_wrk_pt_stu_ft_%, yth_engm_wrk_ft_stu_pt_%, hg_edu_comp_yr_10_%, post_sch_postgrad_%, post_sch_not_stated_%, inc_super_earner_cnt, occ_tech_trd_worker_%, inc_other_excl_gov_pen_cnt, gcg_mean_$, yth_engm_not_wrk_stu_ft_%, inc_other_excl_gov_pen_mean_$, inc_tot_excl_gov_pen_p20_p50_ratio, occ_professional_%, occ_sales_worker_%, gcg_amount_, inc_tot_excl_gov_pen_3rd_quartile_%, gov_pen_carer_cnt, inc_other_excl_gov_pen_tot_, lbr_stat_unempl_rate_%, post_sch_bachelor_%, gov_pen_age_dva_cnt, yth_engm_fully_engaged_%, inc_super_tot_, inc_over15_wkly_500_999_%, yth_engm_wrk_ft_stu_ft_%, occ_comm_peronal_srv_%, gcg_persons_cnt, gov_pen_dsbl_supp_cnt, inc_tot_excl_gov_pen_top_1percent_%, gov_pen_age_pen_cntrlnk_cnt, inc_other_excl_gov_pen_main_src_%, inc_own_unincorp_bus_tot_, inc_tot_excl_gov_pen_p10_p50_ratio, inc_employee_earner_mdn_age_yr, inc_empl_main_src_%, inc_tot_excl_gov_pen_top_10percent_%, occ_labourer_%, post_sch_over_15_yrs_%, inc_tot_empl_inc_, inc_tot_excl_gov_pen_p80_p50_ratio, gov_pen_newstart_over365days_%, inc_tot_excl_gov_pen_gini_coef, inc_inv_earner_cnt, hg_edu_comp_yr_8_or_blw_%, inc_own_unincorop_bus_cnt, inc_inv_mdn_age_yr, inc_over15_wkly_zero_%, occ_mchnry_opr_drv_%, inc_tot_excl_gov_pen_lowest_quartile_%, inc_inv_tot_, inc_hshld_wkly_mdn_equvlsed_$
null,48,null,null,643,null,838,25810,15.9,null,null,10.5,null,2016,null,null,null,30,null,null,null,1.9,null,0.9,null,127,57,null,null,null,null,null,null,null,Northern Grampians (S),null,null,null,80,null,null,0.7,null,null,0.8,null,38.1,7.6,null,null,null,33,null,null,null,null,826,null,489,null,null,null,null,16.8,null,null,19.7,null,null,null,null,null,null,null,null,null,null,null,null,null,182,null,null,null,8,null,null,27.2,null,null,null,863,null,2050,null,null,null,null,null,null,null,null,null,null,77,null,null,8.8,null,null,5.3,null,null,null,634
null,63,null,null,2117,null,2481,25900,28.8,null,null,2,null,2016,null,null,null,999,null,null,null,9.5,null,0.5,null,382,151,null,null,null,null,null,null,null,Port Phillip (C),null,null,null,117,null,null,0.4,null,null,8.8,null,16.8,3.2,null,null,null,71.3,null,null,null,null,2436,null,2589,null,null,null,null,6.4,null,null,5.9,null,null,null,null,null,null,null,null,null,null,null,null,null,426,null,null,null,5,null,null,17.7,null,null,null,3314,null,5841,null,null,null,null,null,null,null,null,null,null,70,null,null,2.4,null,null,6,null,null,null,1376
null,20,null,null,87,null,114,26080,22,null,null,4.6,null,2016,null,null,null,10,null,null,null,4.8,null,0.3,null,18,null,null,null,null,null,null,null,null,Queenscliffe (B),null,null,null,37,null,null,0.5,null,null,3.4,null,27.9,4.7,null,null,null,53.3,null,null,null,null,114,null,44,null,null,null,null,14.7,null,null,12.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25,null,null,null,50,null,602,null,null,null,null,null,null,null,null,null,null,80,null,null,3.3,null,null,5.5,null,null,null,834
null,92,null,null,1601,null,2073,26170,17.3,null,null,9,null,2016,null,null,null,107,null,null,null,2.5,null,0.3,null,293,79,null,null,null,null,null,null,null,South Gippsland (S),null,null,null,146,null,null,0.6,null,null,1.5,null,35,5.5,null,null,null,35.5,null,null,null,null,2047,null,827,null,null,null,null,18.2,null,null,20.2,null,null,null,null,null,null,null,null,null,null,null,null,null,290,null,null,null,5,null,null,25.6,null,null,null,1114,null,4392,null,null,null,null,null,null,null,null,null,null,73,null,null,6.5,null,null,6.6,null,null,null,665
null,94,null,null,871,null,1217,26260,18.5,null,null,9.1,null,2016,null,null,null,58,null,null,null,2.4,null,0.3,null,157,103,null,null,null,null,null,null,null,Southern Grampians (S),null,null,null,92,null,null,0.7,null,null,1.3,null,34.1,5.6,null,null,null,35.9,null,null,null,null,1207,null,558,null,null,null,null,17.9,null,null,19.5,null,null,null,null,null,null,null,null,null,null,null,null,null,189,null,null,null,4,null,null,28.3,null,null,null,671,null,2434,null,null,null,null,null,null,null,null,null,null,79,null,null,7.7,null,null,5.7,null,null,null,688
null,73,null,null,1559,null,1902,26350,27.4,null,null,2,null,2016,null,null,null,1323,null,null,null,8.8,null,0.5,null,253,108,null,null,null,null,null,null,null,Stonnington (C),null,null,null,148,null,null,0.4,null,null,10.6,null,17.6,3.3,null,null,null,75.5,null,null,null,null,1870,null,1497,null,null,null,null,5.9,null,null,5,null,null,null,null,null,null,null,null,null,null,null,null,null,343,null,null,null,null,null,null,16.9,null,null,null,1811,null,6215,null,null,null,null,null,null,null,null,null,null,69,null,null,2.4,null,null,8.9,null,null,null,1393
null,50,null,null,511,null,674,26430,16.5,null,null,9.3,null,2016,null,null,null,35,null,null,null,2.1,null,0.2,null,106,24,null,null,null,null,null,null,null,Strathbogie (S),null,null,null,92,null,null,0.8,null,null,1.3,null,34.3,6.8,null,null,null,35.5,null,null,null,null,666,null,319,null,null,null,null,15.5,null,null,20.7,null,null,null,null,null,null,null,null,null,null,null,null,null,141,null,null,null,5,null,null,26.9,null,null,null,462,null,1922,null,null,null,null,null,null,null,null,null,null,72,null,null,7.3,null,null,5.8,null,null,null,652
null,64,null,null,1194,null,1625,26490,24.3,null,null,5,null,2016,null,null,null,228,null,null,null,5.5,null,0.2,null,170,43,null,null,null,null,null,null,null,Surf Coast (S),null,null,null,133,null,null,0.3,null,null,3.7,null,26,3.5,null,null,null,55.2,null,null,null,null,1595,null,553,null,null,null,null,15.7,null,null,13.4,null,null,null,null,null,null,null,null,null,null,null,null,null,165,null,null,null,4,null,null,24.3,null,null,null,610,null,2942,null,null,null,null,null,null,null,null,null,null,73,null,null,3.3,null,null,7.4,null,null,null,938
null,80,null,null,1359,null,1737,26610,16.6,null,null,8.6,null,2016,null,null,null,73,null,null,null,1.9,null,1.5,null,332,95,null,null,null,null,null,null,null,Swan Hill (R),null,null,null,90,null,null,0.7,null,null,1.2,null,30.4,5.4,null,null,null,32,null,null,null,null,1725,null,768,null,null,null,null,15.2,null,null,18.8,null,null,null,null,null,null,null,null,null,null,null,null,null,284,null,null,null,4,null,null,27.4,null,null,null,966,null,2728,null,null,null,null,null,null,null,null,null,null,79,null,null,8,null,null,6.4,null,null,null,697
null,22,null,null,286,null,397,26670,18.4,null,null,8.7,null,2016,null,null,null,15,null,null,null,2.4,null,0.1,null,55,20,null,null,null,null,null,null,null,Towong (S),null,null,null,79,null,null,0.7,null,null,1.3,null,36,5.7,null,null,null,32.4,null,null,null,null,394,null,216,null,null,null,null,17.7,null,null,23.5,null,null,null,null,null,null,null,null,null,null,null,null,null,66,null,null,null,null,null,null,25.1,null,null,null,239,null,983,null,null,null,null,null,null,null,null,null,null,78,null,null,7.4,null,null,6.2,null,null,null,683
