inc_inv_mean_$, gov_pen_supp_dva_cnt, occ_clerical_admin_%, inc_own_unincorp_bus_mdn_age_yr, gov_fml_tax_bnft_b_cnt, inc_super_main_src_%, gov_fml_tax_bnft_tot_cnt, lga_code16, inc_over15_wkly_1000_1999_%, inc_excl_gov_pen_mdn_tot_$, inc_earner_excl_gov_pen_mdn_age_yr, hg_edu_comp_yr_9_%, post_sch_adv_dplm_or_dplm_%, year, inc_super_mean_$, inc_super_mdn_$, inc_inv_mdn_$, gov_allo_ft_stu_appren_cnt, post_sch_grad_dplm_grad_cert_%, inc_mdn_empl_inc_$, lbr_stat_unempl_cnt, inc_over15_wkly_2000_2999_%, taxpayers_prv_hlth_insurance_cnt, hg_edu_no_sch_%, gcg_mdn_$, gov_pen_prnt_sngl_cnt, gov_allo_youth_cnt, inc_tot_excl_gov_pen_top_2nd_quartile_%, inc_own_unincorp_bus_main_src_%, inc_tot_excl_gov_pen_p80_p20_ratio, post_sch_cert_%, inc_excl_gov_pen_tot_, yth_engm_wrk_ft_not_stu_%, inc_other_excl_gov_pen_mdn_age_yr, lga_name16, yth_engm_wrk_pt_stu_pt_%, inc_own_unincorp_bus_mdn_$, occ_not_stated_%, gov_pen_srv_dva_cnt, persons_dsbl_prv_dwl_cnt, inc_other_excl_gov_pen_mdn_$, inc_over15_wkly_negative_%, inc_employee_earner_cnt, higher_edu_help_loan_cnt, inc_over15_wkly_over_3k_%, yth_engm_15_19_yrs_tot_cnt, inc_over15_wkly_1_499_%, persons_need_assist_core_activities_%, inc_own_unincorp_bus_mean_$, inc_tot_excl_gov_pen_top_quartile_%, lbr_stat_labour_force_cnt, hg_edu_comp_yr_12_%, inc_earner_excl_gov_pen_tot_cnt, lbr_stat_particip_rate_%, inc_mean_empl_inc_$, occ_manager_%, gov_fml_tax_bnft_a_cnt, inc_inv_main_src_%, gov_pen_newstart_cnt, inc_excl_gov_pen_mean_tot_$, inc_tot_excl_gov_pen_top_5percent_%, inc_super_mdn_age_yr, persons_dsbl_prv_dwl_%, hg_edu_comp_yr_11_%, yth_engm_wrk_pt_stu_ft_%, yth_engm_wrk_ft_stu_pt_%, hg_edu_comp_yr_10_%, post_sch_postgrad_%, post_sch_not_stated_%, inc_super_earner_cnt, occ_tech_trd_worker_%, inc_other_excl_gov_pen_cnt, gcg_mean_$, yth_engm_not_wrk_stu_ft_%, inc_other_excl_gov_pen_mean_$, inc_tot_excl_gov_pen_p20_p50_ratio, occ_professional_%, occ_sales_worker_%, gcg_amount_, inc_tot_excl_gov_pen_3rd_quartile_%, gov_pen_carer_cnt, inc_other_excl_gov_pen_tot_, lbr_stat_unempl_rate_%, post_sch_bachelor_%, gov_pen_age_dva_cnt, yth_engm_fully_engaged_%, inc_super_tot_, inc_over15_wkly_500_999_%, yth_engm_wrk_ft_stu_ft_%, occ_comm_peronal_srv_%, gcg_persons_cnt, gov_pen_dsbl_supp_cnt, inc_tot_excl_gov_pen_top_1percent_%, gov_pen_age_pen_cntrlnk_cnt, inc_other_excl_gov_pen_main_src_%, inc_own_unincorp_bus_tot_, inc_tot_excl_gov_pen_p10_p50_ratio, inc_employee_earner_mdn_age_yr, inc_empl_main_src_%, inc_tot_excl_gov_pen_top_10percent_%, occ_labourer_%, post_sch_over_15_yrs_%, inc_tot_empl_inc_, inc_tot_excl_gov_pen_p80_p50_ratio, gov_pen_newstart_over365days_%, inc_tot_excl_gov_pen_gini_coef, inc_inv_earner_cnt, hg_edu_comp_yr_8_or_blw_%, inc_own_unincorop_bus_cnt, inc_inv_mdn_age_yr, inc_over15_wkly_zero_%, occ_mchnry_opr_drv_%, inc_tot_excl_gov_pen_lowest_quartile_%, inc_inv_tot_, inc_hshld_wkly_mdn_equvlsed_$
null,30,null,null,587,null,801,20110,17.5,null,null,7.3,null,2016,null,null,null,39,null,null,null,2.3,null,0.4,null,100,30,null,null,null,null,null,null,null,Alpine (C),null,null,null,110,null,null,0.5,null,null,1.2,null,34.8,5.3,null,null,null,38.2,null,null,null,null,795,null,339,null,null,null,null,16.7,null,null,19.8,null,null,null,null,null,null,null,null,null,null,null,null,null,133,null,null,null,4,null,null,27.8,null,null,null,433,null,2168,null,null,null,null,null,null,null,null,null,null,72,null,null,6.3,null,null,5.1,null,null,null,676
null,45,null,null,622,null,829,20260,15.8,null,null,8.6,null,2016,null,null,null,37,null,null,null,2,null,0.7,null,134,76,null,null,null,null,null,null,null,Ararat (C),null,null,null,63,null,null,0.6,null,null,1.1,null,32.7,6.5,null,null,null,32.2,null,null,null,null,816,null,489,null,null,null,null,16.4,null,null,17.5,null,null,null,null,null,null,null,null,null,null,null,null,null,164,null,null,null,null,null,null,26.5,null,null,null,665,null,1882,null,null,null,null,null,null,null,null,null,null,76,null,null,8,null,null,4.9,null,null,null,674
null,332,null,null,6500,null,8096,20570,20.2,null,null,7.9,null,2016,null,null,null,2219,null,null,null,3.1,null,0.3,null,1589,736,null,null,null,null,null,null,null,Ballarat (C),null,null,null,479,null,null,0.4,null,null,1.8,null,33.1,6.2,null,null,null,45.3,null,null,null,null,8005,null,3966,null,null,null,null,14.8,null,null,17.3,null,null,null,null,null,null,null,null,null,null,null,null,null,1504,null,null,null,null,null,null,25.8,null,null,null,5294,null,12497,null,null,null,null,null,null,null,null,null,null,79,null,null,5.8,null,null,6.8,null,null,null,746
null,354,null,null,4707,null,5851,20660,25.2,null,null,5,null,2016,null,null,null,1478,null,null,null,6.2,null,0.7,null,700,247,null,null,null,null,null,null,null,Banyule (C),null,null,null,559,null,null,0.4,null,null,3.8,null,26.4,5,null,null,null,60.9,null,null,null,null,5725,null,2615,null,null,null,null,11,null,null,11.1,null,null,null,null,null,null,null,null,null,null,null,null,null,892,null,null,null,14,null,null,22.1,null,null,null,3402,null,13158,null,null,null,null,null,null,null,null,null,null,73,null,null,5,null,null,8.8,null,null,null,1002
null,126,null,null,2001,null,2555,20740,15.1,null,null,9.2,null,2016,null,null,null,123,null,null,null,2.1,null,0.4,null,455,146,null,null,null,null,null,null,null,Bass Coast (S),null,null,null,293,null,null,0.5,null,null,1.4,null,38,6.6,null,null,null,36.6,null,null,null,null,2541,null,1425,null,null,null,null,15.9,null,null,20.5,null,null,null,null,null,null,null,null,null,null,null,null,null,420,null,null,null,8,null,null,26.7,null,null,null,1657,null,6391,null,null,null,null,null,null,null,null,null,null,77,null,null,6.6,null,null,5.7,null,null,null,625
null,121,null,null,2822,null,3644,20830,19.3,null,null,8.9,null,2016,null,null,null,327,null,null,null,3.3,null,0.4,null,611,191,null,null,null,null,null,null,null,Baw Baw (S),null,null,null,284,null,null,0.6,null,null,1.8,null,32.2,5.6,null,null,null,38.2,null,null,null,null,3603,null,1485,null,null,null,null,16.6,null,null,20.6,null,null,null,null,null,null,null,null,null,null,null,null,null,514,null,null,null,8,null,null,25.9,null,null,null,1789,null,6617,null,null,null,null,null,null,null,null,null,null,75,null,null,6.3,null,null,7.5,null,null,null,746
null,344,null,null,1776,null,2280,20910,22.5,null,null,3.6,null,2016,null,null,null,683,null,null,null,8.4,null,0.4,null,265,67,null,null,null,null,null,null,null,Bayside (C),null,null,null,333,null,null,0.4,null,null,11.8,null,21.7,4.3,null,null,null,68.1,null,null,null,null,2234,null,1015,null,null,null,null,9.7,null,null,8.7,null,null,null,null,null,null,null,null,null,null,null,null,null,303,null,null,null,11,null,null,17.8,null,null,null,1645,null,7955,null,null,null,null,null,null,null,null,null,null,69,null,null,2.9,null,null,9.4,null,null,null,1303
null,64,null,null,884,null,1094,21010,16.5,null,null,8.8,null,2016,null,null,null,71,null,null,null,2,null,0.3,null,217,65,null,null,null,null,null,null,null,Benalla (R),null,null,null,97,null,null,0.5,null,null,1.2,null,35.9,6.8,null,null,null,34.4,null,null,null,null,1087,null,508,null,null,null,null,17.7,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,216,null,null,null,null,null,null,27.2,null,null,null,739,null,2519,null,null,null,null,null,null,null,null,null,null,77,null,null,7.6,null,null,5.8,null,null,null,645
null,240,null,null,2889,null,3703,21110,23.4,null,null,2.9,null,2016,null,null,null,2409,null,null,null,8.2,null,0.6,null,246,88,null,null,null,null,null,null,null,Boroondara (C),null,null,null,324,null,null,0.4,null,null,10.5,null,21,3.8,null,null,null,74.8,null,null,null,null,3636,null,1543,null,null,null,null,7.2,null,null,5.9,null,null,null,null,null,null,null,null,null,null,null,null,null,385,null,null,null,6,null,null,17.8,null,null,null,2191,null,10114,null,null,null,null,null,null,null,null,null,null,65,null,null,2.7,null,null,11.5,null,null,null,1298
null,128,null,null,14617,null,17204,21180,17.5,null,null,5.4,null,2016,null,null,null,3463,null,null,null,2.2,null,3.3,null,2622,836,null,null,null,null,null,null,null,Brimbank (C),null,null,null,1011,null,null,0.9,null,null,0.8,null,33.3,6.4,null,null,null,52.3,null,null,null,null,17090,null,9822,null,null,null,null,9.2,null,null,11.6,null,null,null,null,null,null,null,null,null,null,null,null,null,3947,null,null,null,6,null,null,24.1,null,null,null,7016,null,21133,null,null,null,null,null,null,null,null,null,null,77,null,null,9.7,null,null,12.5,null,null,null,700
null,47,null,null,312,null,427,21270,14.3,null,null,10,null,2016,null,null,null,22,null,null,null,1.1,null,0.2,null,44,14,null,null,null,null,null,null,null,Buloke (S),null,null,null,35,null,null,1.4,null,null,0.9,null,38.6,7.4,null,null,null,30,null,null,null,null,424,null,216,null,null,null,null,17.9,null,null,19.5,null,null,null,null,null,null,null,null,null,null,null,null,null,111,null,null,null,null,null,null,23.8,null,null,null,323,null,1143,null,null,null,null,null,null,null,null,null,null,81,null,null,9.3,null,null,7,null,null,null,570
null,156,null,null,2273,null,2953,21370,17.7,null,null,10.4,null,2016,null,null,null,168,null,null,null,2.1,null,0.3,null,532,182,null,null,null,null,null,null,null,Campaspe (S),null,null,null,206,null,null,0.7,null,null,1.1,null,33.7,6.4,null,null,null,30.6,null,null,null,null,2925,null,1289,null,null,null,null,17.5,null,null,22,null,null,null,null,null,null,null,null,null,null,null,null,null,505,null,null,null,5,null,null,27.5,null,null,null,1676,null,6078,null,null,null,null,null,null,null,null,null,null,75,null,null,8.1,null,null,6.2,null,null,null,693
null,120,null,null,6564,null,8326,21450,24.1,null,null,7.8,null,2016,null,null,null,746,null,null,null,3.6,null,0.4,null,1401,322,null,null,null,null,null,null,null,Cardinia (S),null,null,null,312,null,null,0.5,null,null,1.5,null,26.6,4.2,null,null,null,44.6,null,null,null,null,8204,null,2273,null,null,null,null,15.6,null,null,19.5,null,null,null,null,null,null,null,null,null,null,null,null,null,825,null,null,null,6,null,null,26.6,null,null,null,2274,null,7800,null,null,null,null,null,null,null,null,null,null,72,null,null,4.7,null,null,9,null,null,null,864
null,280,null,null,22147,null,27954,21610,22.6,null,null,6.3,null,2016,null,null,null,3576,null,null,null,3.2,null,1.7,null,3313,1092,null,null,null,null,null,null,null,Casey (C),null,null,null,753,null,null,0.7,null,null,1.2,null,26.9,4.7,null,null,null,52.3,null,null,null,null,27642,null,8514,null,null,null,null,12.3,null,null,15.4,null,null,null,null,null,null,null,null,null,null,null,null,null,3746,null,null,null,18,null,null,26.2,null,null,null,8652,null,22399,null,null,null,null,null,null,null,null,null,null,72,null,null,5.3,null,null,11.7,null,null,null,842
null,79,null,null,871,null,1088,21670,10.5,null,null,11.4,null,2016,null,null,null,60,null,null,null,1.1,null,0.4,null,195,118,null,null,null,null,null,null,null,Central Goldfields (S),null,null,null,107,null,null,0.6,null,null,0.6,null,45.1,8.9,null,null,null,29.3,null,null,null,null,1084,null,790,null,null,null,null,15.4,null,null,23.1,null,null,null,null,null,null,null,null,null,null,null,null,null,371,null,null,null,null,null,null,26.1,null,null,null,1102,null,3052,null,null,null,null,null,null,null,null,null,null,78,null,null,9.9,null,null,6.1,null,null,null,519
null,67,null,null,1192,null,1621,21750,18,null,null,9,null,2016,null,null,null,88,null,null,null,1.9,null,0.8,null,233,96,null,null,null,null,null,null,null,Colac-Otway (S),null,null,null,116,null,null,0.8,null,null,1.3,null,33.8,6.4,null,null,null,35.7,null,null,null,null,1605,null,713,null,null,null,null,17.4,null,null,19.2,null,null,null,null,null,null,null,null,null,null,null,null,null,225,null,null,null,null,null,null,28.8,null,null,null,1053,null,3065,null,null,null,null,null,null,null,null,null,null,76,null,null,7.7,null,null,5.5,null,null,null,695
null,64,null,null,834,null,1135,21830,17.4,null,null,10.2,null,2016,null,null,null,62,null,null,null,2.1,null,0.3,null,162,57,null,null,null,null,null,null,null,Corangamite (S),null,null,null,71,null,null,1.1,null,null,1.9,null,34.3,5.7,null,null,null,32.5,null,null,null,null,1120,null,453,null,null,null,null,18.3,null,null,19.2,null,null,null,null,null,null,null,null,null,null,null,null,null,171,null,null,null,4,null,null,25.8,null,null,null,676,null,2295,null,null,null,null,null,null,null,null,null,null,75,null,null,8.3,null,null,6.3,null,null,null,669
null,268,null,null,5958,null,7270,21890,22.7,null,null,3.8,null,2016,null,null,null,2707,null,null,null,5,null,1.9,null,944,366,null,null,null,null,null,null,null,Darebin (C),null,null,null,362,null,null,0.5,null,null,2.8,null,29.2,6,null,null,null,62.7,null,null,null,null,7166,null,4782,null,null,null,null,7.3,null,null,7.7,null,null,null,null,null,null,null,null,null,null,null,null,null,1666,null,null,null,12,null,null,21.7,null,null,null,5440,null,16208,null,null,null,null,null,null,null,null,null,null,72,null,null,7.8,null,null,8.9,null,null,null,902
null,169,null,null,2636,null,3394,22110,15,null,null,9.6,null,2016,null,null,null,176,null,null,null,1.8,null,0.3,null,594,234,null,null,null,null,null,null,null,East Gippsland (S),null,null,null,457,null,null,0.6,null,null,1.2,null,37.5,6.8,null,null,null,33.5,null,null,null,null,3362,null,2103,null,null,null,null,15.9,null,null,21.5,null,null,null,null,null,null,null,null,null,null,null,null,null,774,null,null,null,null,null,null,26.4,null,null,null,2532,null,9002,null,null,null,null,null,null,null,null,null,null,77,null,null,7.1,null,null,5.6,null,null,null,621
null,329,null,null,9157,null,11195,22170,23.2,null,null,7.2,null,2016,null,null,null,1318,null,null,null,3.4,null,0.4,null,2005,615,null,null,null,null,null,null,null,Frankston (C),null,null,null,810,null,null,0.4,null,null,1.4,null,28.5,5.4,null,null,null,46.4,null,null,null,null,11041,null,4904,null,null,null,null,14.7,null,null,18.1,null,null,null,null,null,null,null,null,null,null,null,null,null,1497,null,null,null,25,null,null,26.2,null,null,null,5577,null,15119,null,null,null,null,null,null,null,null,null,null,74,null,null,4.5,null,null,7.8,null,null,null,836
null,68,null,null,572,null,791,22250,13.9,null,null,12.1,null,2016,null,null,null,28,null,null,null,1.4,null,0.3,null,111,54,null,null,null,null,null,null,null,Gannawarra (S),null,null,null,75,null,null,0.9,null,null,1.1,null,38.2,6.5,null,null,null,26.1,null,null,null,null,786,null,372,null,null,null,null,18.3,null,null,22.7,null,null,null,null,null,null,null,null,null,null,null,null,null,161,null,null,null,null,null,null,28.3,null,null,null,508,null,2084,null,null,null,null,null,null,null,null,null,null,76,null,null,9.7,null,null,6,null,null,null,610
null,179,null,null,4510,null,5738,22830,19.1,null,null,8.8,null,2016,null,null,null,468,null,null,null,2.5,null,1.5,null,1061,391,null,null,null,null,null,null,null,Greater Shepparton (C),null,null,null,249,null,null,0.7,null,null,1.3,null,31.4,6,null,null,null,36.1,null,null,null,null,5703,null,2571,null,null,null,null,15.5,null,null,18.6,null,null,null,null,null,null,null,null,null,null,null,null,null,1058,null,null,null,6,null,null,26.5,null,null,null,3302,null,7818,null,null,null,null,null,null,null,null,null,null,75,null,null,8,null,null,6.9,null,null,null,734
null,51,null,null,876,null,1109,22910,16.1,null,null,7.5,null,2016,null,null,null,83,null,null,null,2.6,null,0.2,null,165,47,null,null,null,null,null,null,null,Hepburn (S),null,null,null,88,null,null,0.5,null,null,1.6,null,35.4,5.9,null,null,null,43.2,null,null,null,null,1099,null,601,null,null,null,null,14.4,null,null,16.9,null,null,null,null,null,null,null,null,null,null,null,null,null,205,null,null,null,null,null,null,25.8,null,null,null,791,null,2490,null,null,null,null,null,null,null,null,null,null,76,null,null,5.8,null,null,6.3,null,null,null,662
null,28,null,null,266,null,355,22980,15.1,null,null,11.1,null,2016,null,null,null,21,null,null,null,1.7,null,1,null,35,27,null,null,null,null,null,null,null,Hindmarsh (S),null,null,null,35,null,null,1.2,null,null,1.3,null,37.8,7.7,null,null,null,28.7,null,null,null,null,355,null,205,null,null,null,null,17.3,null,null,20.4,null,null,null,null,null,null,null,null,null,null,null,null,null,96,null,null,null,null,null,null,27,null,null,null,333,null,1013,null,null,null,null,null,null,null,null,null,null,82,null,null,11.6,null,null,6.6,null,null,null,615
null,136,null,null,4182,null,4959,23110,24,null,null,5,null,2016,null,null,null,913,null,null,null,6.3,null,1.4,null,667,248,null,null,null,null,null,null,null,Hobsons Bay (C),null,null,null,299,null,null,0.6,null,null,3.7,null,27.5,5.6,null,null,null,56.4,null,null,null,null,4879,null,2773,null,null,null,null,10.6,null,null,12.1,null,null,null,null,null,null,null,null,null,null,null,null,null,1059,null,null,null,10,null,null,20.7,null,null,null,2588,null,9602,null,null,null,null,null,null,null,null,null,null,73,null,null,6.9,null,null,9.2,null,null,null,960
null,74,null,null,1194,null,1583,23190,19.4,null,null,8.7,null,2016,null,null,null,144,null,null,null,2.6,null,0.2,null,263,104,null,null,null,null,null,null,null,Horsham (R),null,null,null,90,null,null,0.7,null,null,1.4,null,31.8,6,null,null,null,37,null,null,null,null,1568,null,624,null,null,null,null,19.9,null,null,18.2,null,null,null,null,null,null,null,null,null,null,null,null,null,202,null,null,null,null,null,null,30.4,null,null,null,914,null,2692,null,null,null,null,null,null,null,null,null,null,77,null,null,7.3,null,null,5.2,null,null,null,720
null,149,null,null,16330,null,19411,23270,19.6,null,null,6.5,null,2016,null,null,null,3085,null,null,null,2.6,null,2.4,null,2437,990,null,null,null,null,null,null,null,Hume (C),null,null,null,380,null,null,0.9,null,null,1,null,32.2,6.3,null,null,null,50,null,null,null,null,19256,null,8502,null,null,null,null,11.7,null,null,14.1,null,null,null,null,null,null,null,null,null,null,null,null,null,5684,null,null,null,10,null,null,24.1,null,null,null,7983,null,16098,null,null,null,null,null,null,null,null,null,null,75,null,null,7.8,null,null,11.4,null,null,null,756
null,48,null,null,799,null,1080,23350,22.5,null,null,7.3,null,2016,null,null,null,71,null,null,null,3,null,0.3,null,129,41,null,null,null,null,null,null,null,Indigo (S),null,null,null,112,null,null,0.3,null,null,1.3,null,30.3,4.9,null,null,null,40.2,null,null,null,null,1065,null,390,null,null,null,null,15.3,null,null,21.2,null,null,null,null,null,null,null,null,null,null,null,null,null,141,null,null,null,5,null,null,26.2,null,null,null,487,null,2215,null,null,null,null,null,null,null,null,null,null,81,null,null,5.3,null,null,6.2,null,null,null,796
null,402,null,null,6078,null,7714,23430,24.6,null,null,4.9,null,2016,null,null,null,1466,null,null,null,5.6,null,1.1,null,797,235,null,null,null,null,null,null,null,Kingston (C),null,null,null,657,null,null,0.4,null,null,2.9,null,26.9,5,null,null,null,58.5,null,null,null,null,7573,null,3202,null,null,null,null,11.3,null,null,12,null,null,null,null,null,null,null,null,null,null,null,null,null,1121,null,null,null,19,null,null,22.9,null,null,null,4128,null,18106,null,null,null,null,null,null,null,null,null,null,71,null,null,5.3,null,null,8.9,null,null,null,946
null,243,null,null,7642,null,9842,23670,24.2,null,null,6.1,null,2016,null,null,null,1660,null,null,null,4.4,null,0.7,null,1139,397,null,null,null,null,null,null,null,Knox (C),null,null,null,595,null,null,0.4,null,null,1.8,null,28,4.8,null,null,null,55,null,null,null,null,9678,null,3551,null,null,null,null,13.5,null,null,14.8,null,null,null,null,null,null,null,null,null,null,null,null,null,1175,null,null,null,15,null,null,24.7,null,null,null,4124,null,17225,null,null,null,null,null,null,null,null,null,null,71,null,null,4.3,null,null,10.1,null,null,null,905
null,194,null,null,4986,null,5870,23810,17.5,null,null,8.7,null,2016,null,null,null,625,null,null,null,4,null,0.5,null,1489,692,null,null,null,null,null,null,null,Latrobe (C),null,null,null,364,null,null,0.5,null,null,2,null,34.2,7,null,null,null,35.1,null,null,null,null,5805,null,4016,null,null,null,null,17.2,null,null,20.2,null,null,null,null,null,null,null,null,null,null,null,null,null,1260,null,null,null,10,null,null,23.6,null,null,null,4501,null,10096,null,null,null,null,null,null,null,null,null,null,80,null,null,7.3,null,null,7.3,null,null,null,706
null,37,null,null,398,null,526,23940,12.7,null,null,10.6,null,2016,null,null,null,38,null,null,null,1.1,null,0.3,null,65,33,null,null,null,null,null,null,null,Loddon (S),null,null,null,56,null,null,1.1,null,null,0.8,null,40.2,7.4,null,null,null,27.3,null,null,null,null,523,null,322,null,null,null,null,16.6,null,null,20.4,null,null,null,null,null,null,null,null,null,null,null,null,null,187,null,null,null,null,null,null,24.1,null,null,null,522,null,1412,null,null,null,null,null,null,null,null,null,null,80,null,null,9.9,null,null,6.1,null,null,null,552
null,102,null,null,1874,null,2476,24130,23.1,null,null,6.3,null,2016,null,null,null,251,null,null,null,6,null,0.2,null,285,85,null,null,null,null,null,null,null,Macedon Ranges (S),null,null,null,180,null,null,0.4,null,null,3.7,null,26.1,4.1,null,null,null,50,null,null,null,null,2433,null,811,null,null,null,null,15.2,null,null,15.5,null,null,null,null,null,null,null,null,null,null,null,null,null,324,null,null,null,6,null,null,22.7,null,null,null,1059,null,4676,null,null,null,null,null,null,null,null,null,null,73,null,null,4.1,null,null,8.8,null,null,null,953
null,200,null,null,3702,null,4866,24210,21.6,null,null,4.5,null,2016,null,null,null,1279,null,null,null,5.7,null,1.2,null,311,105,null,null,null,null,null,null,null,Manningham (C),null,null,null,357,null,null,0.5,null,null,4.5,null,27.6,5,null,null,null,63.5,null,null,null,null,4818,null,1684,null,null,null,null,9.5,null,null,9.8,null,null,null,null,null,null,null,null,null,null,null,null,null,735,null,null,null,13,null,null,21.2,null,null,null,1826,null,14052,null,null,null,null,null,null,null,null,null,null,74,null,null,5.8,null,null,12.3,null,null,null,944
null,19,null,null,408,null,558,24250,18.9,null,null,8.5,null,2016,null,null,null,23,null,null,null,2.7,null,0.1,null,62,18,null,null,null,null,null,null,null,Mansfield (S),null,null,null,39,null,null,0.6,null,null,1.3,null,32.2,4.5,null,null,null,39.8,null,null,null,null,556,null,206,null,null,null,null,16.4,null,null,18,null,null,null,null,null,null,null,null,null,null,null,null,null,70,null,null,null,null,null,null,27,null,null,null,250,null,1331,null,null,null,null,null,null,null,null,null,null,77,null,null,6.4,null,null,6.7,null,null,null,709
null,79,null,null,3535,null,4156,24330,24,null,null,3.4,null,2016,null,null,null,1693,null,null,null,5.9,null,2,null,566,271,null,null,null,null,null,null,null,Maribyrnong (C),null,null,null,534,null,null,0.6,null,null,2.9,null,26.4,4.7,null,null,null,66.1,null,null,null,null,4086,null,3517,null,null,null,null,6.6,null,null,7.5,null,null,null,null,null,null,null,null,null,null,null,null,null,841,null,null,null,null,null,null,21.4,null,null,null,2511,null,6016,null,null,null,null,null,null,null,null,null,null,75,null,null,5.5,null,null,9.7,null,null,null,975
null,278,null,null,5422,null,6900,24410,25.2,null,null,5.6,null,2016,null,null,null,1091,null,null,null,5.2,null,0.8,null,801,312,null,null,null,null,null,null,null,Maroondah (C),null,null,null,454,null,null,0.4,null,null,2.3,null,27.8,5,null,null,null,55.3,null,null,null,null,6763,null,2617,null,null,null,null,13.7,null,null,14.1,null,null,null,null,null,null,null,null,null,null,null,null,null,662,null,null,null,21,null,null,24.2,null,null,null,3415,null,12185,null,null,null,null,null,null,null,null,null,null,70,null,null,4.5,null,null,8.4,null,null,null,936
null,32,null,null,2050,null,2371,24600,21.5,null,null,1.3,null,2016,null,null,null,2757,null,null,null,6.3,null,0.6,null,360,181,null,null,null,null,null,null,null,Melbourne (C),null,null,null,97,null,null,0.8,null,null,4.7,null,19.1,1.7,null,null,null,77,null,null,null,null,2326,null,2452,null,null,null,null,4.3,null,null,3.1,null,null,null,null,null,null,null,null,null,null,null,null,null,338,null,null,null,null,null,null,16.3,null,null,null,2103,null,3362,null,null,null,null,null,null,null,null,null,null,70,null,null,1.3,null,null,18.8,null,null,null,970
null,104,null,null,10324,null,12739,24650,23.8,null,null,6.4,null,2016,null,null,null,1395,null,null,null,3.5,null,1.1,null,2152,574,null,null,null,null,null,null,null,Melton (C),null,null,null,309,null,null,0.7,null,null,1.2,null,26.1,4.9,null,null,null,50.9,null,null,null,null,12579,null,4435,null,null,null,null,12.3,null,null,15.5,null,null,null,null,null,null,null,null,null,null,null,null,null,2136,null,null,null,null,null,null,24.5,null,null,null,4068,null,8593,null,null,null,null,null,null,null,null,null,null,73,null,null,5.2,null,null,11.1,null,null,null,850
null,217,null,null,3853,null,4895,24780,17.5,null,null,9.4,null,2016,null,null,null,338,null,null,null,2,null,1.1,null,985,454,null,null,null,null,null,null,null,Mildura (R),null,null,null,307,null,null,0.6,null,null,1.2,null,33.7,6.8,null,null,null,33.5,null,null,null,null,4867,null,2616,null,null,null,null,15,null,null,20.9,null,null,null,null,null,null,null,null,null,null,null,null,null,914,null,null,null,15,null,null,26.8,null,null,null,2938,null,7383,null,null,null,null,null,null,null,null,null,null,76,null,null,8.4,null,null,6.6,null,null,null,681
null,70,null,null,2824,null,3439,24850,22.4,null,null,9,null,2016,null,null,null,299,null,null,null,3.3,null,0.3,null,630,199,null,null,null,null,null,null,null,Mitchell (S),null,null,null,204,null,null,0.6,null,null,1.2,null,27.8,4.9,null,null,null,38.8,null,null,null,null,3401,null,1335,null,null,null,null,15.7,null,null,19.7,null,null,null,null,null,null,null,null,null,null,null,null,null,517,null,null,null,null,null,null,24.8,null,null,null,1458,null,3973,null,null,null,null,null,null,null,null,null,null,74,null,null,5.7,null,null,8.6,null,null,null,823
null,142,null,null,1733,null,2277,24900,16.6,null,null,10.3,null,2016,null,null,null,111,null,null,null,1.7,null,0.5,null,415,120,null,null,null,null,null,null,null,Moira (S),null,null,null,245,null,null,0.7,null,null,1.2,null,36.1,6.7,null,null,null,30.1,null,null,null,null,2258,null,1026,null,null,null,null,16.4,null,null,22.5,null,null,null,null,null,null,null,null,null,null,null,null,null,488,null,null,null,8,null,null,26.2,null,null,null,1390,null,5345,null,null,null,null,null,null,null,null,null,null,77,null,null,8.4,null,null,5.8,null,null,null,654
null,382,null,null,6309,null,8195,24970,21,null,null,3.8,null,2016,null,null,null,2832,null,null,null,5.4,null,1.2,null,591,243,null,null,null,null,null,null,null,Monash (C),null,null,null,597,null,null,0.7,null,null,2.9,null,27.7,4.8,null,null,null,67.9,null,null,null,null,8078,null,2925,null,null,null,null,7.7,null,null,8.3,null,null,null,null,null,null,null,null,null,null,null,null,null,1166,null,null,null,18,null,null,20.6,null,null,null,3544,null,20168,null,null,null,null,null,null,null,null,null,null,73,null,null,5,null,null,15.2,null,null,null,878
null,190,null,null,3845,null,4744,25060,24.7,null,null,4.2,null,2016,null,null,null,1598,null,null,null,6.6,null,1.4,null,639,222,null,null,null,null,null,null,null,Moonee Valley (C),null,null,null,306,null,null,0.5,null,null,4.6,null,26.3,5.2,null,null,null,61.1,null,null,null,null,4662,null,2832,null,null,null,null,9.5,null,null,9.5,null,null,null,null,null,null,null,null,null,null,null,null,null,1032,null,null,null,11,null,null,20.3,null,null,null,2756,null,12842,null,null,null,null,null,null,null,null,null,null,73,null,null,6.5,null,null,8.5,null,null,null,1034
